(a^4),(2*b*(a^3)),(2*c*(a^3)),(k(6)*(a^2)*(b^2)),(2*b*c*k(3)*(a^2)),(k(6)*(a^2)*(c^2)),(2*a*(b^3)),(2*a*c*k(3)*(b^2)),(2*a*b*k(3)*(c^2)),(2*a*(c^3)),(b^4),(2*c*(b^3)),(k(6)*(b^2)*(c^2)),(2*b*(c^3)),(c^4)
(2*d*(a^3)),((e*(a^3))+(3*b*d*(a^2))),((f*(a^3))+(3*c*d*(a^2))),(1/12*k(6)*((12*a*d*(b^2))+(12*b*e*(a^2)))),(1/12*k(3)*((12*b*f*(a^2))+(12*c*e*(a^2))+(24*a*b*c*d))),(1/12*k(6)*((12*a*d*(c^2))+(12*c*f*(a^2)))),((d*(b^3))+(3*a*e*(b^2))),(1/12*k(3)*((12*a*f*(b^2))+(12*c*d*(b^2))+(24*a*b*c*e))),(1/12*k(3)*((12*a*e*(c^2))+(12*b*d*(c^2))+(24*a*b*c*f))),((d*(c^3))+(3*a*f*(c^2))),(2*e*(b^3)),((f*(b^3))+(3*c*e*(b^2))),(1/12*k(6)*((12*b*e*(c^2))+(12*c*f*(b^2)))),((e*(c^3))+(3*b*f*(c^2))),(2*f*(c^3))
(2*g*(a^3)),((h*(a^3))+(3*b*g*(a^2))),((i*(a^3))+(3*c*g*(a^2))),(1/12*k(6)*((12*a*g*(b^2))+(12*b*h*(a^2)))),(1/12*k(3)*((12*b*i*(a^2))+(12*c*h*(a^2))+(24*a*b*c*g))),(1/12*k(6)*((12*a*g*(c^2))+(12*c*i*(a^2)))),((g*(b^3))+(3*a*h*(b^2))),(1/12*k(3)*((12*a*i*(b^2))+(12*c*g*(b^2))+(24*a*b*c*h))),(1/12*k(3)*((12*a*h*(c^2))+(12*b*g*(c^2))+(24*a*b*c*i))),((g*(c^3))+(3*a*i*(c^2))),(2*h*(b^3)),((i*(b^3))+(3*c*h*(b^2))),(1/12*k(6)*((12*b*h*(c^2))+(12*c*i*(b^2)))),((h*(c^3))+(3*b*i*(c^2))),(2*i*(c^3))
(k(6)*(a^2)*(d^2)),(1/12*k(6)*((12*a*b*(d^2))+(12*d*e*(a^2)))),(1/12*k(6)*((12*a*c*(d^2))+(12*d*f*(a^2)))),(((a^2)*(e^2))+((b^2)*(d^2))+(4*a*b*d*e)),(1/12*k(2)*((12*b*c*(d^2))+(12*e*f*(a^2))+(24*a*b*d*f)+(24*a*c*d*e))),(((a^2)*(f^2))+((c^2)*(d^2))+(4*a*c*d*f)),(1/12*k(6)*((12*a*b*(e^2))+(12*d*e*(b^2)))),(1/12*k(2)*((12*a*c*(e^2))+(12*d*f*(b^2))+(24*a*b*e*f)+(24*b*c*d*e))),(1/12*k(2)*((12*a*b*(f^2))+(12*d*e*(c^2))+(24*a*c*e*f)+(24*b*c*d*f))),(1/12*k(6)*((12*a*c*(f^2))+(12*d*f*(c^2)))),(k(6)*(b^2)*(e^2)),(1/12*k(6)*((12*b*c*(e^2))+(12*e*f*(b^2)))),(((b^2)*(f^2))+((c^2)*(e^2))+(4*b*c*e*f)),(1/12*k(6)*((12*b*c*(f^2))+(12*e*f*(c^2)))),(k(6)*(c^2)*(f^2))
(2*d*g*k(3)*(a^2)),(1/12*k(3)*((12*d*h*(a^2))+(12*e*g*(a^2))+(24*a*b*d*g))),(1/12*k(3)*((12*d*i*(a^2))+(12*f*g*(a^2))+(24*a*c*d*g))),(1/12*k(2)*((12*d*g*(b^2))+(12*e*h*(a^2))+(24*a*b*d*h)+(24*a*b*e*g))),((e*i*(a^2))+(f*h*(a^2))+(2*a*b*d*i)+(2*a*b*f*g)+(2*a*c*d*h)+(2*a*c*e*g)+(2*b*c*d*g)),(1/12*k(2)*((12*d*g*(c^2))+(12*f*i*(a^2))+(24*a*c*d*i)+(24*a*c*f*g))),(1/12*k(3)*((12*d*h*(b^2))+(12*e*g*(b^2))+(24*a*b*e*h))),((d*i*(b^2))+(f*g*(b^2))+(2*a*b*e*i)+(2*a*b*f*h)+(2*a*c*e*h)+(2*b*c*d*h)+(2*b*c*e*g)),((d*h*(c^2))+(e*g*(c^2))+(2*a*b*f*i)+(2*a*c*e*i)+(2*a*c*f*h)+(2*b*c*d*i)+(2*b*c*f*g)),(1/12*k(3)*((12*d*i*(c^2))+(12*f*g*(c^2))+(24*a*c*f*i))),(2*e*h*k(3)*(b^2)),(1/12*k(3)*((12*e*i*(b^2))+(12*f*h*(b^2))+(24*b*c*e*h))),(1/12*k(2)*((12*e*h*(c^2))+(12*f*i*(b^2))+(24*b*c*e*i)+(24*b*c*f*h))),(1/12*k(3)*((12*e*i*(c^2))+(12*f*h*(c^2))+(24*b*c*f*i))),(2*f*i*k(3)*(c^2))
(k(6)*(a^2)*(g^2)),(1/12*k(6)*((12*a*b*(g^2))+(12*g*h*(a^2)))),(1/12*k(6)*((12*a*c*(g^2))+(12*g*i*(a^2)))),(((a^2)*(h^2))+((b^2)*(g^2))+(4*a*b*g*h)),(1/12*k(2)*((12*b*c*(g^2))+(12*h*i*(a^2))+(24*a*b*g*i)+(24*a*c*g*h))),(((a^2)*(i^2))+((c^2)*(g^2))+(4*a*c*g*i)),(1/12*k(6)*((12*a*b*(h^2))+(12*g*h*(b^2)))),(1/12*k(2)*((12*a*c*(h^2))+(12*g*i*(b^2))+(24*a*b*h*i)+(24*b*c*g*h))),(1/12*k(2)*((12*a*b*(i^2))+(12*g*h*(c^2))+(24*a*c*h*i)+(24*b*c*g*i))),(1/12*k(6)*((12*a*c*(i^2))+(12*g*i*(c^2)))),(k(6)*(b^2)*(h^2)),(1/12*k(6)*((12*b*c*(h^2))+(12*h*i*(b^2)))),(((b^2)*(i^2))+((c^2)*(h^2))+(4*b*c*h*i)),(1/12*k(6)*((12*b*c*(i^2))+(12*h*i*(c^2)))),(k(6)*(c^2)*(i^2))
(2*a*(d^3)),((b*(d^3))+(3*a*e*(d^2))),((c*(d^3))+(3*a*f*(d^2))),(1/12*k(6)*((12*a*d*(e^2))+(12*b*e*(d^2)))),(1/12*k(3)*((12*b*f*(d^2))+(12*c*e*(d^2))+(24*a*d*e*f))),(1/12*k(6)*((12*a*d*(f^2))+(12*c*f*(d^2)))),((a*(e^3))+(3*b*d*(e^2))),(1/12*k(3)*((12*a*f*(e^2))+(12*c*d*(e^2))+(24*b*d*e*f))),(1/12*k(3)*((12*a*e*(f^2))+(12*b*d*(f^2))+(24*c*d*e*f))),((a*(f^3))+(3*c*d*(f^2))),(2*b*(e^3)),((c*(e^3))+(3*b*f*(e^2))),(1/12*k(6)*((12*b*e*(f^2))+(12*c*f*(e^2)))),((b*(f^3))+(3*c*e*(f^2))),(2*c*(f^3))
(2*a*g*k(3)*(d^2)),(1/12*k(3)*((12*a*h*(d^2))+(12*b*g*(d^2))+(24*a*d*e*g))),(1/12*k(3)*((12*a*i*(d^2))+(12*c*g*(d^2))+(24*a*d*f*g))),(1/12*k(2)*((12*a*g*(e^2))+(12*b*h*(d^2))+(24*a*d*e*h)+(24*b*d*e*g))),((b*i*(d^2))+(c*h*(d^2))+(2*a*d*e*i)+(2*a*d*f*h)+(2*a*e*f*g)+(2*b*d*f*g)+(2*c*d*e*g)),(1/12*k(2)*((12*a*g*(f^2))+(12*c*i*(d^2))+(24*a*d*f*i)+(24*c*d*f*g))),(1/12*k(3)*((12*a*h*(e^2))+(12*b*g*(e^2))+(24*b*d*e*h))),((a*i*(e^2))+(c*g*(e^2))+(2*a*e*f*h)+(2*b*d*e*i)+(2*b*d*f*h)+(2*b*e*f*g)+(2*c*d*e*h)),((a*h*(f^2))+(b*g*(f^2))+(2*a*e*f*i)+(2*b*d*f*i)+(2*c*d*e*i)+(2*c*d*f*h)+(2*c*e*f*g)),(1/12*k(3)*((12*a*i*(f^2))+(12*c*g*(f^2))+(24*c*d*f*i))),(2*b*h*k(3)*(e^2)),(1/12*k(3)*((12*b*i*(e^2))+(12*c*h*(e^2))+(24*b*e*f*h))),(1/12*k(2)*((12*b*h*(f^2))+(12*c*i*(e^2))+(24*b*e*f*i)+(24*c*e*f*h))),(1/12*k(3)*((12*b*i*(f^2))+(12*c*h*(f^2))+(24*c*e*f*i))),(2*c*i*k(3)*(f^2))
(2*a*d*k(3)*(g^2)),(1/12*k(3)*((12*a*e*(g^2))+(12*b*d*(g^2))+(24*a*d*g*h))),(1/12*k(3)*((12*a*f*(g^2))+(12*c*d*(g^2))+(24*a*d*g*i))),(1/12*k(2)*((12*a*d*(h^2))+(12*b*e*(g^2))+(24*a*e*g*h)+(24*b*d*g*h))),((b*f*(g^2))+(c*e*(g^2))+(2*a*d*h*i)+(2*a*e*g*i)+(2*a*f*g*h)+(2*b*d*g*i)+(2*c*d*g*h)),(1/12*k(2)*((12*a*d*(i^2))+(12*c*f*(g^2))+(24*a*f*g*i)+(24*c*d*g*i))),(1/12*k(3)*((12*a*e*(h^2))+(12*b*d*(h^2))+(24*b*e*g*h))),((a*f*(h^2))+(c*d*(h^2))+(2*a*e*h*i)+(2*b*d*h*i)+(2*b*e*g*i)+(2*b*f*g*h)+(2*c*e*g*h)),((a*e*(i^2))+(b*d*(i^2))+(2*a*f*h*i)+(2*b*f*g*i)+(2*c*d*h*i)+(2*c*e*g*i)+(2*c*f*g*h)),(1/12*k(3)*((12*a*f*(i^2))+(12*c*d*(i^2))+(24*c*f*g*i))),(2*b*e*k(3)*(h^2)),(1/12*k(3)*((12*b*f*(h^2))+(12*c*e*(h^2))+(24*b*e*h*i))),(1/12*k(2)*((12*b*e*(i^2))+(12*c*f*(h^2))+(24*b*f*h*i)+(24*c*e*h*i))),(1/12*k(3)*((12*b*f*(i^2))+(12*c*e*(i^2))+(24*c*f*h*i))),(2*c*f*k(3)*(i^2))
(2*a*(g^3)),((b*(g^3))+(3*a*h*(g^2))),((c*(g^3))+(3*a*i*(g^2))),(1/12*k(6)*((12*a*g*(h^2))+(12*b*h*(g^2)))),(1/12*k(3)*((12*b*i*(g^2))+(12*c*h*(g^2))+(24*a*g*h*i))),(1/12*k(6)*((12*a*g*(i^2))+(12*c*i*(g^2)))),((a*(h^3))+(3*b*g*(h^2))),(1/12*k(3)*((12*a*i*(h^2))+(12*c*g*(h^2))+(24*b*g*h*i))),(1/12*k(3)*((12*a*h*(i^2))+(12*b*g*(i^2))+(24*c*g*h*i))),((a*(i^3))+(3*c*g*(i^2))),(2*b*(h^3)),((c*(h^3))+(3*b*i*(h^2))),(1/12*k(6)*((12*b*h*(i^2))+(12*c*i*(h^2)))),((b*(i^3))+(3*c*h*(i^2))),(2*c*(i^3))
(d^4),(2*e*(d^3)),(2*f*(d^3)),(k(6)*(d^2)*(e^2)),(2*e*f*k(3)*(d^2)),(k(6)*(d^2)*(f^2)),(2*d*(e^3)),(2*d*f*k(3)*(e^2)),(2*d*e*k(3)*(f^2)),(2*d*(f^3)),(e^4),(2*f*(e^3)),(k(6)*(e^2)*(f^2)),(2*e*(f^3)),(f^4)
